,symbol,companyid
186,ALG-USD-STK,24533
187,ALGM-USD-STK,4245259
188,ALGN-USD-STK,24568
189,ALGS-USD-STK,581475891
190,ALGT-USD-STK,666631
191,ALHC-USD-STK,262793824
192,ALIT-USD-STK,667229565
193,ALK-USD-STK,248501
194,ALKS-USD-STK,24572
195,ALKT-USD-STK,106842888
196,ALL-USD-STK,18711
197,ALLE-USD-STK,241782379
198,ALLG-USD-STK,710446742
199,ALLK-USD-STK,225312313
200,ALLO-USD-STK,558022022
201,ALLT-USD-STK,24624
202,ALLY-USD-STK,955855
203,ALNY-USD-STK,2796659
204,ALPN-USD-STK,283828497
205,ALPP-USD-STK,268998872
206,ALRM-USD-STK,302151977
207,ALSN-USD-STK,13529856
208,ALT-USD-STK,4866807
209,ALTA-USD-STK,47416993
210,ALTG-USD-STK,4320390
211,ALTM-USD-STK,576794560
212,ALTO-USD-STK,10039433
213,ALTR-USD-STK,4787964
214,ALTU-USD-STK,689878170
215,ALUS-USD-STK,632262726
216,ALV-USD-STK,361581
217,ALVR-USD-STK,383379282
218,ALX-USD-STK,248975
219,ALXN-USD-STK,347983
220,ALXO-USD-STK,301925264
221,ALZN-USD-STK,367712111
222,AM-USD-STK,276417619
223,AMAL-USD-STK,4935718
224,AMAT-USD-STK,251230
225,AMBA-USD-STK,22816801
226,AMBC-USD-STK,317460
227,AMBP-USD-STK,705112155
228,AMC-USD-STK,34874958
229,AMCR-USD-STK,401715
230,AMCX-USD-STK,679630
231,AMD-USD-STK,168864
232,AME-USD-STK,31860
233,AMED-USD-STK,347535
234,AMEH-USD-STK,4634897
235,AMG-USD-STK,24445
236,AMGN-USD-STK,24816
237,AMH-USD-STK,241397401
238,AMK-USD-STK,330679182
239,AMKR-USD-STK,124219
240,AMLP-USD-STK,112317754
241,AMLX-USD-STK,317169670
242,AMN-USD-STK,24821
243,AMOT-USD-STK,177779
244,AMP-USD-STK,4165019
245,AMPE-USD-STK,84650489
246,AMPH-USD-STK,2003650
247,AMPL-USD-STK,247542783
248,AMPS-USD-STK,275070780
249,AMPX-USD-STK,54509692
250,AMPY-USD-STK,134724049
251,AMR-USD-STK,372704180
252,AMRC-USD-STK,1795267
253,AMRK-USD-STK,4558482
254,AMRS-USD-STK,27742428
255,AMRX-USD-STK,38444119
256,AMSC-USD-STK,34933
257,AMSF-USD-STK,24806
258,AMSWA-USD-STK,250510
259,AMT-USD-STK,24766
260,AMTB-USD-STK,4920873
261,AMTI-USD-STK,291566008
262,AMTX-USD-STK,27792863
263,AMWD-USD-STK,250549
264,AMWL-USD-STK,46103274
265,AMZA-USD-STK,269734503
266,AMZN-USD-STK,18749
267,AN-USD-STK,112302
268,ANAB-USD-STK,28462113
269,ANAT-USD-STK,250307
270,ANDE-USD-STK,364264
271,ANET-USD-STK,33348547
272,ANF-USD-STK,353867
273,ANGH-USD-STK,183390166
274,ANGI-USD-STK,123844
275,ANGL-USD-STK,184315290
276,ANGN-USD-STK,116517229
277,ANGO-USD-STK,4803544
278,ANIK-USD-STK,328641
279,ANIP-USD-STK,1528824
280,ANNX-USD-STK,279883519
281,ANSS-USD-STK,24893
282,ANTM-USD-STK,160077
283,ANTX-USD-STK,645116379
284,ANVS-USD-STK,622711087
285,ANY-USD-STK,215497349
286,ANZU-USD-STK,703724624
287,AOA-USD-STK,50172491
288,AOD-USD-STK,32455227
289,AOK-USD-STK,50172556
290,AOM-USD-STK,50172538
